source,target,type,evidence,source_type,score,id
HER2,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Stage 4 Non-small Cell Lung Cancer With Human Epidermal Growth Factor Receptor 2 Alterations and Myocarditis Induced by Immune Checkpoint Inhibitors: A Case Report.. Immune checkpoint inhibitor (ICI)-...,cooccurrence,0.7,e25
HER2,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Stage 4 Non-small Cell Lung Cancer With Human Epidermal Growth Factor Receptor 2 Alterations and Myocarditis Induced by Immune Checkpoint Inhibitors: A Case Report.. Immune checkpoint inhibitor (ICI)-...,cooccurrence,0.7,e26
MET,esophageal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Stage 4 Non-small Cell Lung Cancer With Human Epidermal Growth Factor Receptor 2 Alterations and Myocarditis Induced by Immune Checkpoint Inhibitors: A Case Report.. Immune checkpoint inhibitor (ICI)-...,cooccurrence,0.7,e27
PD-L1,esophageal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Stage 4 Non-small Cell Lung Cancer With Human Epidermal Growth Factor Receptor 2 Alterations and Myocarditis Induced by Immune Checkpoint Inhibitors: A Case Report.. Immune checkpoint inhibitor (ICI)-...,cooccurrence,0.7,e28
PR,esophageal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Stage 4 Non-small Cell Lung Cancer With Human Epidermal Growth Factor Receptor 2 Alterations and Myocarditis Induced by Immune Checkpoint Inhibitors: A Case Report.. Immune checkpoint inhibitor (ICI)-...,cooccurrence,0.7,e29
ipilimumab,nivolumab,drug_drug_cooccurrence,Co-occurrence in text: Improving visual acuity with nivolumab plus ipilimumab plus two cycles of chemotherapy following a diagnosis of lung adenocarcinoma with choroidal metastasis: A case report and literature review.. A 7...,cooccurrence,0.5,e30
ipilimumab,EGFR,drug_gene_cooccurrence,Co-occurrence in text: Improving visual acuity with nivolumab plus ipilimumab plus two cycles of chemotherapy following a diagnosis of lung adenocarcinoma with choroidal metastasis: A case report and literature review.. A 7...,cooccurrence,0.6,e31
ipilimumab,MET,drug_gene_cooccurrence,Co-occurrence in text: Improving visual acuity with nivolumab plus ipilimumab plus two cycles of chemotherapy following a diagnosis of lung adenocarcinoma with choroidal metastasis: A case report and literature review.. A 7...,cooccurrence,0.6,e32
nivolumab,EGFR,drug_gene_cooccurrence,Co-occurrence in text: Improving visual acuity with nivolumab plus ipilimumab plus two cycles of chemotherapy following a diagnosis of lung adenocarcinoma with choroidal metastasis: A case report and literature review.. A 7...,cooccurrence,0.6,e33
ipilimumab,ALK,drug_gene_cooccurrence,"Co-occurrence in text: Nivolumab plus chemotherapy in first-line metastatic non-small-cell lung cancer: results of the phase III CheckMate 227 Part 2 trial.. In CheckMate 227 Part 1, first-line nivolumab plus ipilimumab pro...",cooccurrence,0.6,e34
ipilimumab,TP53,drug_gene_cooccurrence,"Co-occurrence in text: Nivolumab plus chemotherapy in first-line metastatic non-small-cell lung cancer: results of the phase III CheckMate 227 Part 2 trial.. In CheckMate 227 Part 1, first-line nivolumab plus ipilimumab pro...",cooccurrence,0.6,e35
nivolumab,ALK,drug_gene_cooccurrence,"Co-occurrence in text: Nivolumab plus chemotherapy in first-line metastatic non-small-cell lung cancer: results of the phase III CheckMate 227 Part 2 trial.. In CheckMate 227 Part 1, first-line nivolumab plus ipilimumab pro...",cooccurrence,0.6,e36
nivolumab,TP53,drug_gene_cooccurrence,"Co-occurrence in text: Nivolumab plus chemotherapy in first-line metastatic non-small-cell lung cancer: results of the phase III CheckMate 227 Part 2 trial.. In CheckMate 227 Part 1, first-line nivolumab plus ipilimumab pro...",cooccurrence,0.6,e37
TP53,lung cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Nivolumab plus chemotherapy in first-line metastatic non-small-cell lung cancer: results of the phase III CheckMate 227 Part 2 trial.. In CheckMate 227 Part 1, first-line nivolumab plus ipilimumab pro...",cooccurrence,0.7,e38
pembrolizumab,TP53,drug_gene_cooccurrence,Co-occurrence in text: Pembrolizumab combined with anlotinib improves therapeutic efficacy in pulmonary sarcomatoid carcinoma with TMB-H and PD-L1 expression: a case report and literature review.. Pulmonary sarcomatoid carc...,cooccurrence,0.6,e39
TMB,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab combined with anlotinib improves therapeutic efficacy in pulmonary sarcomatoid carcinoma with TMB-H and PD-L1 expression: a case report and literature review.. Pulmonary sarcomatoid carc...,cooccurrence,0.7,e40
TMB,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab combined with anlotinib improves therapeutic efficacy in pulmonary sarcomatoid carcinoma with TMB-H and PD-L1 expression: a case report and literature review.. Pulmonary sarcomatoid carc...,cooccurrence,0.7,e41
TP53,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Pembrolizumab combined with anlotinib improves therapeutic efficacy in pulmonary sarcomatoid carcinoma with TMB-H and PD-L1 expression: a case report and literature review.. Pulmonary sarcomatoid carc...,cooccurrence,0.7,e42
atezolizumab,ipilimumab,drug_drug_cooccurrence,Co-occurrence in text: Cost-effectiveness of first-line immunotherapy for advanced non-small cell lung cancer with different PD-L1 expression levels: A comprehensive overview.. Immunotherapies can substantially improve trea...,cooccurrence,0.5,e43
atezolizumab,nivolumab,drug_drug_cooccurrence,Co-occurrence in text: Cost-effectiveness of first-line immunotherapy for advanced non-small cell lung cancer with different PD-L1 expression levels: A comprehensive overview.. Immunotherapies can substantially improve trea...,cooccurrence,0.5,e44
atezolizumab,pembrolizumab,drug_drug_cooccurrence,Co-occurrence in text: Cost-effectiveness of first-line immunotherapy for advanced non-small cell lung cancer with different PD-L1 expression levels: A comprehensive overview.. Immunotherapies can substantially improve trea...,cooccurrence,0.5,e45
ipilimumab,pembrolizumab,drug_drug_cooccurrence,Co-occurrence in text: Cost-effectiveness of first-line immunotherapy for advanced non-small cell lung cancer with different PD-L1 expression levels: A comprehensive overview.. Immunotherapies can substantially improve trea...,cooccurrence,0.5,e46
atezolizumab,MET,drug_gene_cooccurrence,Co-occurrence in text: Comparison of the profiles of first-line PD-1/PD-L1 inhibitors for advanced NSCLC lacking driver gene mutations: a systematic review and Bayesian network meta-analysis.. Numerous first-line immune che...,cooccurrence,0.6,e47
carboplatin,cisplatin,drug_drug_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.5,e48
carboplatin,ipilimumab,drug_drug_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.5,e49
carboplatin,nivolumab,drug_drug_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.5,e50
carboplatin,paclitaxel,drug_drug_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.5,e51
cisplatin,ipilimumab,drug_drug_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.5,e52
cisplatin,nivolumab,drug_drug_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.5,e53
cisplatin,paclitaxel,drug_drug_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.5,e54
ipilimumab,paclitaxel,drug_drug_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.5,e55
nivolumab,paclitaxel,drug_drug_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.5,e56
carboplatin,MET,drug_gene_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.6,e57
cisplatin,MET,drug_gene_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.6,e58
paclitaxel,MET,drug_gene_cooccurrence,Co-occurrence in text: Multi-Center Real-World Outcomes of Nivolumab Plus Ipilimumab and Chemotherapy in Patients with Metastatic Non-Small-Cell Lung Cancer.. Immune checkpoint inhibitors have become the standard of care in...,cooccurrence,0.6,e59
cyclophosphamide,nivolumab,drug_drug_cooccurrence,Co-occurrence in text: Nivolumab after Induction Chemotherapy in Previously Treated Non-Small-Cell Lung Cancer Patients with Low PD-L1 Expression.. This study aimed to investigate whether cyclophosphamide (C) and adriamycin...,cooccurrence,0.5,e60
cyclophosphamide,MYC,drug_gene_cooccurrence,Co-occurrence in text: Nivolumab after Induction Chemotherapy in Previously Treated Non-Small-Cell Lung Cancer Patients with Low PD-L1 Expression.. This study aimed to investigate whether cyclophosphamide (C) and adriamycin...,cooccurrence,0.6,e61
nivolumab,MYC,drug_gene_cooccurrence,Co-occurrence in text: Nivolumab after Induction Chemotherapy in Previously Treated Non-Small-Cell Lung Cancer Patients with Low PD-L1 Expression.. This study aimed to investigate whether cyclophosphamide (C) and adriamycin...,cooccurrence,0.6,e62
AR,breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e63
AR,glioblastoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e64
AR,hepatocellular carcinoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e65
AR,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e66
AR,triple-negative breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e67
ER,breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e68
ER,glioblastoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e69
ER,hepatocellular carcinoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e70
ER,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e71
ER,triple-negative breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e72
MET,breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e73
MET,glioblastoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e74
MET,hepatocellular carcinoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e75
MET,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e76
MET,triple-negative breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e77
PD-L1,breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e78
PD-L1,glioblastoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e79
PD-L1,hepatocellular carcinoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e80
PD-L1,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e81
PD-L1,triple-negative breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e82
PR,breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e83
PR,glioblastoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e84
PR,hepatocellular carcinoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e85
PR,melanoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e86
PR,triple-negative breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Cancer cell-intrinsic PD-1: Its role in malignant progression and immunotherapy.. Programmed cell death protein-1 (PD-1), also called CD279, is coded by the PDCD1 gene and is constitutively expressed ...",cooccurrence,0.7,e87
atezolizumab,docetaxel,drug_drug_cooccurrence,Co-occurrence in text: Efficacy and safety of immune checkpoint inhibitors for advanced non-small cell lung cancer with or without PD-L1 selection: A systematic review and network meta-analysis.. Immune checkpoint inhibitor...,cooccurrence,0.5,e88
docetaxel,pembrolizumab,drug_drug_cooccurrence,Co-occurrence in text: Efficacy and safety of immune checkpoint inhibitors for advanced non-small cell lung cancer with or without PD-L1 selection: A systematic review and network meta-analysis.. Immune checkpoint inhibitor...,cooccurrence,0.5,e89
docetaxel,MET,drug_gene_cooccurrence,Co-occurrence in text: Efficacy and safety of immune checkpoint inhibitors for advanced non-small cell lung cancer with or without PD-L1 selection: A systematic review and network meta-analysis.. Immune checkpoint inhibitor...,cooccurrence,0.6,e90
docetaxel,nivolumab,drug_drug_cooccurrence,"Co-occurrence in text: Durable Response to Maintenance Treatment Comprised of Viagenpumatucel-L, Nivolumab, Ramucirumab, and Docetaxel in a PD-L1-Low Advanced-Stage Non-Small-Cell Lung Cancer: A Case Report.. Checkpoint inh...",cooccurrence,0.5,e91
letrozole,pembrolizumab,drug_drug_cooccurrence,Co-occurrence in text: Autocrine 17-β-Estradiol/Estrogen Receptor-α Loop Determines the Response to Immune Checkpoint Inhibitors in Non-Small Cell Lung Cancer.. The response to immune checkpoint inhibitors (ICI) often diffe...,cooccurrence,0.5,e92
letrozole,EGFR,drug_gene_cooccurrence,Co-occurrence in text: Autocrine 17-β-Estradiol/Estrogen Receptor-α Loop Determines the Response to Immune Checkpoint Inhibitors in Non-Small Cell Lung Cancer.. The response to immune checkpoint inhibitors (ICI) often diffe...,cooccurrence,0.6,e93
letrozole,MET,drug_gene_cooccurrence,Co-occurrence in text: Autocrine 17-β-Estradiol/Estrogen Receptor-α Loop Determines the Response to Immune Checkpoint Inhibitors in Non-Small Cell Lung Cancer.. The response to immune checkpoint inhibitors (ICI) often diffe...,cooccurrence,0.6,e94
AR,bladder cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Assessment of Tumor Mutational Burden and Outcomes in Patients With Diverse Advanced Cancers Treated With Immunotherapy.. There are few studies assessing the association of tumor mutational burden (TM...,cooccurrence,0.7,e95
ER,bladder cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Assessment of Tumor Mutational Burden and Outcomes in Patients With Diverse Advanced Cancers Treated With Immunotherapy.. There are few studies assessing the association of tumor mutational burden (TM...,cooccurrence,0.7,e96
PD-L1,bladder cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Assessment of Tumor Mutational Burden and Outcomes in Patients With Diverse Advanced Cancers Treated With Immunotherapy.. There are few studies assessing the association of tumor mutational burden (TM...,cooccurrence,0.7,e97
PR,bladder cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Assessment of Tumor Mutational Burden and Outcomes in Patients With Diverse Advanced Cancers Treated With Immunotherapy.. There are few studies assessing the association of tumor mutational burden (TM...,cooccurrence,0.7,e98
RET,bladder cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Assessment of Tumor Mutational Burden and Outcomes in Patients With Diverse Advanced Cancers Treated With Immunotherapy.. There are few studies assessing the association of tumor mutational burden (TM...,cooccurrence,0.7,e99
TMB,bladder cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Assessment of Tumor Mutational Burden and Outcomes in Patients With Diverse Advanced Cancers Treated With Immunotherapy.. There are few studies assessing the association of tumor mutational burden (TM...,cooccurrence,0.7,e100
