source,target,type,evidence,source_type,score,id
PD-L1,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Safety and efficacy of rechallenge with immune checkpoint inhibitors and anlotinib in advanced non-small cell lung cancer without targetable driver mutations: a retrospective analysis.. This study ass...,cooccurrence,0.7,e24
PR,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Safety and efficacy of rechallenge with immune checkpoint inhibitors and anlotinib in advanced non-small cell lung cancer without targetable driver mutations: a retrospective analysis.. This study ass...,cooccurrence,0.7,e25
PR,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Safety and efficacy of rechallenge with immune checkpoint inhibitors and anlotinib in advanced non-small cell lung cancer without targetable driver mutations: a retrospective analysis.. This study ass...,cooccurrence,0.7,e26
RET,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Safety and efficacy of rechallenge with immune checkpoint inhibitors and anlotinib in advanced non-small cell lung cancer without targetable driver mutations: a retrospective analysis.. This study ass...,cooccurrence,0.7,e27
RET,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Safety and efficacy of rechallenge with immune checkpoint inhibitors and anlotinib in advanced non-small cell lung cancer without targetable driver mutations: a retrospective analysis.. This study ass...,cooccurrence,0.7,e28
erlotinib,MET,drug_gene_cooccurrence,Co-occurrence in text: Development of a machine learning-based predictive risk model combining fatty acid metabolism and ferroptosis for immunotherapy response and prognosis in prostate cancer.. Prostate cancer (PCa) remain...,cooccurrence,0.6,e29
AR,prostate cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Development of a machine learning-based predictive risk model combining fatty acid metabolism and ferroptosis for immunotherapy response and prognosis in prostate cancer.. Prostate cancer (PCa) remain...,cooccurrence,0.7,e30
ER,prostate cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Development of a machine learning-based predictive risk model combining fatty acid metabolism and ferroptosis for immunotherapy response and prognosis in prostate cancer.. Prostate cancer (PCa) remain...,cooccurrence,0.7,e31
MET,prostate cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Development of a machine learning-based predictive risk model combining fatty acid metabolism and ferroptosis for immunotherapy response and prognosis in prostate cancer.. Prostate cancer (PCa) remain...,cooccurrence,0.7,e32
PR,prostate cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Development of a machine learning-based predictive risk model combining fatty acid metabolism and ferroptosis for immunotherapy response and prognosis in prostate cancer.. Prostate cancer (PCa) remain...,cooccurrence,0.7,e33
TMB,prostate cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Development of a machine learning-based predictive risk model combining fatty acid metabolism and ferroptosis for immunotherapy response and prognosis in prostate cancer.. Prostate cancer (PCa) remain...,cooccurrence,0.7,e34
AR,gastric cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Tumor microenvironment modulation by SERPINE1 increases radioimmunotherapy in murine model of gastric cancer.. An elevated extracellular matrix (ECM) and interstitial fluid pressure (IFP) in gastric c...,cooccurrence,0.7,e35
ER,gastric cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Tumor microenvironment modulation by SERPINE1 increases radioimmunotherapy in murine model of gastric cancer.. An elevated extracellular matrix (ECM) and interstitial fluid pressure (IFP) in gastric c...,cooccurrence,0.7,e36
HER2,gastric cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Tumor microenvironment modulation by SERPINE1 increases radioimmunotherapy in murine model of gastric cancer.. An elevated extracellular matrix (ECM) and interstitial fluid pressure (IFP) in gastric c...,cooccurrence,0.7,e37
PR,gastric cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Tumor microenvironment modulation by SERPINE1 increases radioimmunotherapy in murine model of gastric cancer.. An elevated extracellular matrix (ECM) and interstitial fluid pressure (IFP) in gastric c...,cooccurrence,0.7,e38
AR,ovarian cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Inhibitors of eIF1A-ribosome interaction unveil uORF-dependent regulation of translation initiation and antitumor and antiviral effects.. During translation initiation, eIF1A binds the ribosome throug...",cooccurrence,0.7,e39
ER,ovarian cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Inhibitors of eIF1A-ribosome interaction unveil uORF-dependent regulation of translation initiation and antitumor and antiviral effects.. During translation initiation, eIF1A binds the ribosome throug...",cooccurrence,0.7,e40
PR,ovarian cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Inhibitors of eIF1A-ribosome interaction unveil uORF-dependent regulation of translation initiation and antitumor and antiviral effects.. During translation initiation, eIF1A binds the ribosome throug...",cooccurrence,0.7,e41
AR,renal cell carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Comprehensive molecular profiling of FH-deficient renal cell carcinoma identifies molecular subtypes and potential therapeutic targets.. Fumarate hydratase-deficient renal cell carcinoma (FH-deficient...,cooccurrence,0.7,e42
ER,renal cell carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Comprehensive molecular profiling of FH-deficient renal cell carcinoma identifies molecular subtypes and potential therapeutic targets.. Fumarate hydratase-deficient renal cell carcinoma (FH-deficient...,cooccurrence,0.7,e43
MET,renal cell carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Comprehensive molecular profiling of FH-deficient renal cell carcinoma identifies molecular subtypes and potential therapeutic targets.. Fumarate hydratase-deficient renal cell carcinoma (FH-deficient...,cooccurrence,0.7,e44
PR,renal cell carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Comprehensive molecular profiling of FH-deficient renal cell carcinoma identifies molecular subtypes and potential therapeutic targets.. Fumarate hydratase-deficient renal cell carcinoma (FH-deficient...,cooccurrence,0.7,e45
MET,lung cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Associations between immune checkpoint inhibitor response, immune-related adverse events, and steroid use in RADIOHEAD: a prospective pan-tumor cohort study.. Immune checkpoint inhibitors (ICIs) have ...",cooccurrence,0.7,e46
EGFR,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Network pharmacology study on the mechanism of Curcumae Rhizoma in the treatment of non-small cell lung cancer.. Non-small cell lung cancer (NSCLC) poses a significant threat to public health worldwid...,cooccurrence,0.7,e47
EGFR,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Network pharmacology study on the mechanism of Curcumae Rhizoma in the treatment of non-small cell lung cancer.. Non-small cell lung cancer (NSCLC) poses a significant threat to public health worldwid...,cooccurrence,0.7,e48
MET,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Network pharmacology study on the mechanism of Curcumae Rhizoma in the treatment of non-small cell lung cancer.. Non-small cell lung cancer (NSCLC) poses a significant threat to public health worldwid...,cooccurrence,0.7,e49
PTEN,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Network pharmacology study on the mechanism of Curcumae Rhizoma in the treatment of non-small cell lung cancer.. Non-small cell lung cancer (NSCLC) poses a significant threat to public health worldwid...,cooccurrence,0.7,e50
PTEN,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Network pharmacology study on the mechanism of Curcumae Rhizoma in the treatment of non-small cell lung cancer.. Non-small cell lung cancer (NSCLC) poses a significant threat to public health worldwid...,cooccurrence,0.7,e51
RET,breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Impact of distinct insulin index on neoadjuvant treatment of breast cancer: A clinical retrospective study.. A combination of glucose and lipid metabolism, insulin resistance (IR) is correlated with t...",cooccurrence,0.7,e52
PD-L1,melanoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Biomimetic liposomal nanovesicles remodel the tumor immune microenvironment to augment sono-immunotherapy.. Sonodynamic therapy (SDT)-mediated immunogenic cell death and immune checkpoint blockade off...,cooccurrence,0.7,e53
AR,hepatocellular carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Proton beam therapy for mediastinal Hodgkin lymphoma: A prospective study of clinical efficacy and safety.. Proton beam therapy using pencil beam scanning is an advanced radiotherapy technique that ut...,cooccurrence,0.7,e54
AR,lymphoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Proton beam therapy for mediastinal Hodgkin lymphoma: A prospective study of clinical efficacy and safety.. Proton beam therapy using pencil beam scanning is an advanced radiotherapy technique that ut...,cooccurrence,0.7,e55
ER,hepatocellular carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Proton beam therapy for mediastinal Hodgkin lymphoma: A prospective study of clinical efficacy and safety.. Proton beam therapy using pencil beam scanning is an advanced radiotherapy technique that ut...,cooccurrence,0.7,e56
ER,lymphoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Proton beam therapy for mediastinal Hodgkin lymphoma: A prospective study of clinical efficacy and safety.. Proton beam therapy using pencil beam scanning is an advanced radiotherapy technique that ut...,cooccurrence,0.7,e57
PR,hepatocellular carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Proton beam therapy for mediastinal Hodgkin lymphoma: A prospective study of clinical efficacy and safety.. Proton beam therapy using pencil beam scanning is an advanced radiotherapy technique that ut...,cooccurrence,0.7,e58
PR,lymphoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Proton beam therapy for mediastinal Hodgkin lymphoma: A prospective study of clinical efficacy and safety.. Proton beam therapy using pencil beam scanning is an advanced radiotherapy technique that ut...,cooccurrence,0.7,e59
MET,hepatocellular carcinoma,biomarker_cancer_cooccurrence,"Co-occurrence in text: Nervous system in hepatocellular carcinoma: Correlation, mechanisms, therapeutic implications, and future perspectives.. Hepatocellular carcinoma (HCC) is a highly heterogeneous and complex cancer inf...",cooccurrence,0.7,e60
AR,colorectal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: LACTB promotes cell differentiation and inhibits cell proliferation in colorectal cancer.. This study aims at exploring the role of LACTB on colorectal cancer (CRC) cell differentiation. In this study...,cooccurrence,0.7,e61
ER,colorectal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: LACTB promotes cell differentiation and inhibits cell proliferation in colorectal cancer.. This study aims at exploring the role of LACTB on colorectal cancer (CRC) cell differentiation. In this study...,cooccurrence,0.7,e62
PR,colorectal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: LACTB promotes cell differentiation and inhibits cell proliferation in colorectal cancer.. This study aims at exploring the role of LACTB on colorectal cancer (CRC) cell differentiation. In this study...,cooccurrence,0.7,e63
AR,pancreatic cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Molecular analysis highlights TREM2 as a discriminating biomarker for patients suffering from pancreatic ductal adenocarcinoma.. Pancreatic cancer is projected to become the second leading cause of ca...,cooccurrence,0.7,e64
ER,pancreatic cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Molecular analysis highlights TREM2 as a discriminating biomarker for patients suffering from pancreatic ductal adenocarcinoma.. Pancreatic cancer is projected to become the second leading cause of ca...,cooccurrence,0.7,e65
MET,pancreatic cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Molecular analysis highlights TREM2 as a discriminating biomarker for patients suffering from pancreatic ductal adenocarcinoma.. Pancreatic cancer is projected to become the second leading cause of ca...,cooccurrence,0.7,e66
PR,pancreatic cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Molecular analysis highlights TREM2 as a discriminating biomarker for patients suffering from pancreatic ductal adenocarcinoma.. Pancreatic cancer is projected to become the second leading cause of ca...,cooccurrence,0.7,e67
AR,leukemia,biomarker_cancer_cooccurrence,Co-occurrence in text: A Machine Learning-Based Strategy Predicts Selective and Synergistic Drug Combinations for Relapsed Acute Myeloid Leukemia.. Combination therapies are one potential approach to improve the outcomes of...,cooccurrence,0.7,e68
ER,leukemia,biomarker_cancer_cooccurrence,Co-occurrence in text: A Machine Learning-Based Strategy Predicts Selective and Synergistic Drug Combinations for Relapsed Acute Myeloid Leukemia.. Combination therapies are one potential approach to improve the outcomes of...,cooccurrence,0.7,e69
PR,leukemia,biomarker_cancer_cooccurrence,Co-occurrence in text: A Machine Learning-Based Strategy Predicts Selective and Synergistic Drug Combinations for Relapsed Acute Myeloid Leukemia.. Combination therapies are one potential approach to improve the outcomes of...,cooccurrence,0.7,e70
AR,endometrial cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Mitochondria-related genes as prognostic signature of endometrial cancer and the effect of MACC1 on tumor cells.. Mitochondria are essential organelles involved in cell metabolism and are closely link...,cooccurrence,0.7,e71
ER,endometrial cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Mitochondria-related genes as prognostic signature of endometrial cancer and the effect of MACC1 on tumor cells.. Mitochondria are essential organelles involved in cell metabolism and are closely link...,cooccurrence,0.7,e72
MET,endometrial cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Mitochondria-related genes as prognostic signature of endometrial cancer and the effect of MACC1 on tumor cells.. Mitochondria are essential organelles involved in cell metabolism and are closely link...,cooccurrence,0.7,e73
PR,endometrial cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Mitochondria-related genes as prognostic signature of endometrial cancer and the effect of MACC1 on tumor cells.. Mitochondria are essential organelles involved in cell metabolism and are closely link...,cooccurrence,0.7,e74
RET,endometrial cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Mitochondria-related genes as prognostic signature of endometrial cancer and the effect of MACC1 on tumor cells.. Mitochondria are essential organelles involved in cell metabolism and are closely link...,cooccurrence,0.7,e75
RET,prostate cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Somatic Tumor Next-Generation Sequencing in US Veterans With Metastatic Prostate Cancer.. National guidelines recommend next-generation sequencing (NGS) of tumors in patients diagnosed with metastatic...,cooccurrence,0.7,e76
TP53,prostate cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Somatic Tumor Next-Generation Sequencing in US Veterans With Metastatic Prostate Cancer.. National guidelines recommend next-generation sequencing (NGS) of tumors in patients diagnosed with metastatic...,cooccurrence,0.7,e77
docetaxel,ALK,drug_gene_cooccurrence,Co-occurrence in text: Anlotinib Plus Docetaxel is Promising in Advanced NSCLC Progressing on First-Line Immunotherapy: A Pooled Analysis of Two Randomized Trials.. Therapeutic options for patients with advanced non-small c...,cooccurrence,0.6,e78
docetaxel,EGFR,drug_gene_cooccurrence,Co-occurrence in text: Anlotinib Plus Docetaxel is Promising in Advanced NSCLC Progressing on First-Line Immunotherapy: A Pooled Analysis of Two Randomized Trials.. Therapeutic options for patients with advanced non-small c...,cooccurrence,0.6,e79
docetaxel,ROS1,drug_gene_cooccurrence,Co-occurrence in text: Anlotinib Plus Docetaxel is Promising in Advanced NSCLC Progressing on First-Line Immunotherapy: A Pooled Analysis of Two Randomized Trials.. Therapeutic options for patients with advanced non-small c...,cooccurrence,0.6,e80
ALK,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Anlotinib Plus Docetaxel is Promising in Advanced NSCLC Progressing on First-Line Immunotherapy: A Pooled Analysis of Two Randomized Trials.. Therapeutic options for patients with advanced non-small c...,cooccurrence,0.7,e81
ALK,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Anlotinib Plus Docetaxel is Promising in Advanced NSCLC Progressing on First-Line Immunotherapy: A Pooled Analysis of Two Randomized Trials.. Therapeutic options for patients with advanced non-small c...,cooccurrence,0.7,e82
ROS1,lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Anlotinib Plus Docetaxel is Promising in Advanced NSCLC Progressing on First-Line Immunotherapy: A Pooled Analysis of Two Randomized Trials.. Therapeutic options for patients with advanced non-small c...,cooccurrence,0.7,e83
ROS1,non-small cell lung cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Anlotinib Plus Docetaxel is Promising in Advanced NSCLC Progressing on First-Line Immunotherapy: A Pooled Analysis of Two Randomized Trials.. Therapeutic options for patients with advanced non-small c...,cooccurrence,0.7,e84
TMB,ovarian cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Construction of a novel CD8T cell-related index for predicting clinical outcomes and immune landscape in ovarian cancer by combined single-cell and RNA-sequencing analysis.. CD8T cells, also known as ...",cooccurrence,0.7,e85
HER2,breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Proton therapy in young breast cancer patients with germline TP53 and ATM mutations: a case series.. Young breast cancer patients with germline radiosensitivity mutations, such as in TP53 and ATM, fac...",cooccurrence,0.7,e86
TP53,breast cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Proton therapy in young breast cancer patients with germline TP53 and ATM mutations: a case series.. Young breast cancer patients with germline radiosensitivity mutations, such as in TP53 and ATM, fac...",cooccurrence,0.7,e87
RET,hepatocellular carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Sitravatinib targets TYRO3 to augment the anti-tumor immune response of PD-1 blockade in hepatocellular carcinoma.. Tyrosine kinase inhibitors (TKIs) combined with immune checkpoint blockades (ICBs) p...,cooccurrence,0.7,e88
gefitinib,EGFR,drug_gene_cooccurrence,"Co-occurrence in text: EIF4E promotes gefitinib resistance in non-small cell lung cancer by activating the Wnt/β-catenin pathway.. Tyrosine kinase inhibitors (TKIs) like gefitinib, which target the epidermal growth factor r...",cooccurrence,0.6,e89
gefitinib,MET,drug_gene_cooccurrence,"Co-occurrence in text: EIF4E promotes gefitinib resistance in non-small cell lung cancer by activating the Wnt/β-catenin pathway.. Tyrosine kinase inhibitors (TKIs) like gefitinib, which target the epidermal growth factor r...",cooccurrence,0.6,e90
MET,leukemia,biomarker_cancer_cooccurrence,Co-occurrence in text: Clinical experience and safety of venetoclax in the treatment of patients with chronic lymphocytic leukemia - real-world data from a hemato-oncology center.. The treatment of patients with CLL has und...,cooccurrence,0.7,e91
RET,leukemia,biomarker_cancer_cooccurrence,Co-occurrence in text: Clinical experience and safety of venetoclax in the treatment of patients with chronic lymphocytic leukemia - real-world data from a hemato-oncology center.. The treatment of patients with CLL has und...,cooccurrence,0.7,e92
MET,gastric cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Prognostic Implications and Therapeutic Potential of MXD Genes in Gastric Cancer.. MAX dimerization (MXD) genes play integral roles in various types of tumors. The expression patterns, prognostic valu...",cooccurrence,0.7,e93
PD-L1,colorectal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Oncolytic reovirus enhances the effect of CEA immunotherapy when combined with PD1-PDL1 inhibitor in a colorectal cancer model.. The effectiveness of immunotherapy with tumor associated antigen vaccin...,cooccurrence,0.7,e94
RET,colorectal cancer,biomarker_cancer_cooccurrence,Co-occurrence in text: Oncolytic reovirus enhances the effect of CEA immunotherapy when combined with PD1-PDL1 inhibitor in a colorectal cancer model.. The effectiveness of immunotherapy with tumor associated antigen vaccin...,cooccurrence,0.7,e95
PD-L1,hepatocellular carcinoma,biomarker_cancer_cooccurrence,Co-occurrence in text: Targeted activation of junctional adhesion molecule-like protein. Cytotoxic T lymphocytes (CTLs) play a crucial role in the therapeutic approach to hepatocellular carcinoma (HCC). Recent research has ...,cooccurrence,0.7,e96
KRAS,lung cancer,biomarker_cancer_cooccurrence,"Co-occurrence in text: Epigenomic analysis identifies DTP subpopulation using HOPX to develop targeted therapy resistance in lung adenocarcinoma.. Genomic studies have identified oncogenic drivers in lung cancer, enabling e...",cooccurrence,0.7,e97
